Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Abrahams and Kattenfeld,1997,"Abrahams, M., Kattenfeld, M. The role of turbidity as a constraint on predator-prey interactions in aquatic environments. Behav Ecol Sociobiol 40, 169–174 (1997).",10.1007/s002650050330,1,Winnipeg,Manitoba,Canada,Delta Marsh,Pimephales,promelas,Minnow,Fathead,F,Adult,A,AN,11.5,0.333333333,3,3,Attracted to turbidity,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867573",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,50,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867574",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,100,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867575",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,200,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867576",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,1000,1008,8,8,Damage to gill tissue,No,New,
Au et al.,2004,"Au, D., Pollino, C., Wu, R., Shin, P., Lau, S., & Tang, J. (2004). Chronic effects of suspended solids on gill structure, osmoregulation, growth, and triiodothyronine in juvenile green grouper Epinephelus coioides. Marine Ecology Progress Series, 266, 265-274. Retrieved April 26, 2021, from http://www.jstor.org/stable/24867577",,1,NA,NA,Hong Kong,Kau Sai Chau,Epinephelus,coioides,Grouper,Green,S,Juvenile,J,JN,2000,1008,8,8,Damage to gill tissue,No,New,
Quadroni et al.,2016,"Quadroni, S., Brignoli, M. L., Crosa, G., Gentili, G., Salmaso, F., Zaccara, S., and Espa, P. (2016) Effects of sediment flushing from a small Alpine reservoir on downstream aquatic fauna. Ecohydrol., 9: 1276– 1288. ",10.1002/eco.1725,1,NA,Sondrio,Italy,Madesimo Reservoir,Salmo,trutta,Trout,Brown,F,Juvenile,J,JS,2900,66,10,10,Habitat degradation and reduction in density,No,New,
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-351",10.1080/00028487.2014.987878,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,1197.7,120,12,12,LC50,No,New,Exact
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-352",10.1080/00028487.2014.987879,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,8372.1,12,12,12,LC50,No,New,Exact
Barkalow and Bonar,2015,"Stephani L. Clark Barkalow & Scott A. Bonar (2015) Effects of Suspended Sediment on Early-Life Stage Survivalof Yaqui Chub, an Endangered USA–Mexico Borderlands Cyprinid, Transactions of the American Fisheries Society, 144:2, 345-353",10.1080/00028487.2014.987880,1,Tucson,Arizona,USA,University of Arizona,Gila,purpurea,Chub,Yaqui,F,Fry,J,JN,4800,24,12,12,LC50,No,New,Estimated based on figure
